Country, Mwi, Mwi_level, Total_waste, Skip_1, Skip_2, Skip_3, Skip_4, Skip_5, Skip_6
"Maldives",81.09,"Very High",6345,5145,12.3,240,0,672,31
"Brunei",32.42,"Low",34601,11216,78.3,400,0,1624,68
"Belize",66.81,"High",19262,12868,48.8,530,0,547,78
"Bahamas",17.02,"Low",39600,6738,97.4,0,0,1253,41
"Iceland",0.97,"Very Low",47250,459,128.9,7650,0,1347,3
"Vanuatu",95.82,"Very High",4530,4340,14.5,0,0,245,26
"French Polynesia",74.35,"High",2940,2186,9.7,400,0,10599,13
"New Caledonia",44.74,"Medium",17846,7984,65.8,0,0,1426,49
"Barbados",10.64,"Very Low",29893,3180,106.5,1000,0,1198,19
"Sao Tome and Principe",88.35,"Very High",2727,"2 409",12.5,0,0,196,15
"Samoa",41.53,"Medium",3562,1479,16.6,0,0,524,9
"Saint Lucia",26.09,"Low",17076,4454,95.3,0,0,501,27
"Guam",18.11,"Low",17546,3177,103.7,0,0,1695,19
"Kiribati",87.26,"Very High",5894,5143,46.6,0,0,282,31
"Micronesia",98.74,"Very High",3463,3420,30.9,0,0,195,21
"Tonga",79.33,"High",2310,1833,21.9,0,0,493,11
"Seychelles",19.64,"Low",4752,933,48.3,0,0,1121,6
"Saint Vincent and the Grenadines",30.18,"Low",2651,800,25.3,0,0,8901,5
"Antigua and Barbuda",2.55,"Very Low",3976,101,42.9,0,0,1121,1
"Andorra",44.77,"Medium",4859,2176,62.5,0,0,1123,13
"Dominica",22.59,"Low",2108,476,29.3,13140,0,473,3
"Cayman Islands",67.95,"High",6600,4484,98.1,0,0,2683,27
"Bermuda",0.13,"Very Low",10660,14,166.8,0,0,1101,0
"Greenland",4.49,"Very Low",1200,54,21.3,0,0,1095,0
"Faroe Islands",36.01,"Low",8137,2930,155.2,0,0,1093,18
"Saint Kitts and Nevis",5.03,"Very Low",7631,384,160.2,0,0,1077,2
"Sint Maarten",21.23,"Low",2065,438,63.4,0,0,1092,3
"American Samoa",53.03,"Medium",2431,1289,52.6,0,0,482,8
"Marshall Islands",83,"Very High",1120,930,25.8,0,0,4176,6
"Liechtenstein",35.4,"Low",1749,619,45.1,0,0,1082,4
"San Marino",56.97,"Medium",962,548,28.3,0,0,1079,3
"Gibraltar",21.23,"Low",2689,571,82.2,0,0,1079,3
"British Virgin Islands",21.95,"Low",1329,292,43,0,0,1060,2
"Palau",39.08,"Low",3017,1179,167.8,0,0,3210,7
